Dis No,Year,Seq,Disaster Group,DisasterSubgroup,Disaster Type,Disaster Subtype,value,Entry Criteria,Country,ISO,Region,Associated Dis,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,StartMonth,Start Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$)
2001-0038-ROU,2001,38,Technological,Technological,Industrial accident,Poisoning,1,Affect,Romania,ROU,Eastern Europe,,,,,,m3,,,,,2001,1,24,,100,,,100,,,
2001-0018-RUS,2001,18,Natural,Meteorological,Extreme temperature,Cold wave,1,Affect,Russian Federation (the),RUS,Eastern Europe,,,,,-57,?,,,,,2001,1,,145,120,6000,,6120,,,100
2001-0035-RUS,2001,35,Technological,Technological,Transport accident,Water,1,Kill,Russian Federation (the),RUS,Eastern Europe,,,,,,,,,,,2001,1,29,19,,32,,32,,,
2000-0584-RUS,2000,584,Technological,Technological,Miscellaneous accident,Fire,1,Declar/Int,Russian Federation (the),RUS,Eastern Europe,,,,,,,,,,,2000,9,15,10,8,,,8,,,
2000-0772-RUS,2000,772,Technological,Technological,Miscellaneous accident,Fire,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2000,11,27,10,,,,,,,
2000-0179-RUS,2000,179,Natural,Hydrological,Flood,,1,Affect,Russian Federation (the),RUS,Eastern Europe,,,,,,Km2,,,,,2000,3,,,,19800,,19800,,,5273
2000-0278-RUS,2000,278,Natural,Hydrological,Flood,,1,Affect,Russian Federation (the),RUS,Eastern Europe,,,,,,Km2,,,,,2000,5,13,,,1200,,1200,,,
2000-0342-RUS,2000,342,Natural,Biological,Epidemic,,1,Affect,Russian Federation (the),RUS,Eastern Europe,,,,,,Vaccinated,,,,,2000,6,,,,100,,100,,,
2000-0394-RUS,2000,394,Natural,Hydrological,Flood,,1,SigDis,Russian Federation (the),RUS,Eastern Europe,,,,,,Km2,,,,,2000,6,,,,,,,,,
2000-0457-RUS,2000,457,Natural,Hydrological,Landslide,,1,Affect,Russian Federation (the),RUS,Eastern Europe,,,,,,,,,,,2000,7,19,7,8,500,,508,,,
2000-0612-RUS,2000,612,Natural,Hydrological,Flood,,1,Affect,Russian Federation (the),RUS,Eastern Europe,,,,,,Km2,,,,,2000,9,18,,,1320,,1320,,,
2000-0196-SCG,2000,196,Natural,Hydrological,Flood,Riverine flood,1,Declar/Int,Serbia Montenegro,SCG,Southern Europe,,,,,100,Km2,,,,"Tamis, Tisza",2000,4,5,,,4000,,4000,,,
2000-0868-SCG,2000,868,Natural,Hydrological,Flood,Riverine flood,1,Declar/Int,Serbia Montenegro,SCG,Southern Europe,,,,,,Km2,,,,Kotor,2000,12,28,,,2000,,2000,,,
2000-0383-SCG,2000,383,Natural,Meteorological,Extreme temperature,Heat wave,1,SigDis,Serbia Montenegro,SCG,Southern Europe,,,,,42,?,,,,,2000,7,,3,70,,,70,,,
2000-0633-SCG,2000,633,Natural,Climatological,Wildfire,Forest fire,1,Waiting,Serbia Montenegro,SCG,Southern Europe,,,,,,Km2,,,,,2000,8,,,,,12,12,,,
2000-0523-SVK,2000,523,Natural,Climatological,Wildfire,Forest fire,1,Declar/Int,Slovakia,SVK,Eastern Europe,,,,,,Km2,,,,,2000,10,,6,,,,,,,
2000-0337-UKR,2000,337,Natural,Meteorological,Extreme temperature,Cold wave,1,SigDam,Ukraine,UKR,Eastern Europe,,,,,,?,,,,,2000,5,1,,,,,,,,85000
2000-0168-UKR,2000,168,Technological,Technological,Industrial accident,Explosion,1,Kill,Ukraine,UKR,Eastern Europe,,,,,,m3,,,,,2000,3,11,80,7,,,7,,,
2000-0898-UKR,2000,898,Technological,Technological,Miscellaneous accident,Other,1,Affected,Ukraine,UKR,Eastern Europe,,No,No,,,,,,,,2000,7,1,,378,,,378,,,
2000-0427-UKR,2000,427,Natural,Meteorological,Storm,,1,Affect,Ukraine,UKR,Eastern Europe,,,,,,Kph,,,,,2000,7,5,2,10,39000,,39010,,,
2000-0603-UKR,2000,603,Natural,Meteorological,Storm,,1,Affect,Ukraine,UKR,Eastern Europe,,,,,72,Kph,,,,,2000,7,25,4,,3000,,3000,,,
2000-0784-UKR,2000,784,Natural,Meteorological,Storm,,1,Affect,Ukraine,UKR,Eastern Europe,,,,436,,Kph,,,,,2000,11,27,4,700,5400,,6100,,,120000
2001-0504-BGR,2001,504,Natural,Climatological,Wildfire,Forest fire,1,Declar/Int,Bulgaria,BGR,Eastern Europe,,,,,50,Km2,,,,,2001,8,,,,,,,,,
2001-0701-BGR,2001,701,Natural,Meteorological,Storm,,1,Declar/Int,Bulgaria,BGR,Eastern Europe,,,,,,Kph,,,,,2001,12,24,2,,,,,,,
2001-0783-BIH,2001,783,Natural,Hydrological,Flood,Riverine flood,1,Affect,Bosnia and Herzegovina,BIH,Southern Europe,,,,,,Km2,,,,,2001,6,,,,9000,,9000,,,
2001-0673-CHE,2001,673,Natural,Meteorological,Extreme temperature,Cold wave,1,Waiting,Switzerland,CHE,Western Europe,,,,,-31,?,,,,,2001,12,13,,,,,,,,
2001-0636-CHE,2001,636,Technological,Technological,Transport accident,Air,1,Kill,Switzerland,CHE,Western Europe,,,,,,,,,,,2001,11,24,24,9,,,9,,,
2001-0590-CHE,2001,590,Technological,Technological,Transport accident,Road,1,Kill,Switzerland,CHE,Western Europe,,No,No,,,,,,,,2001,10,24,11,,,,,,,
2001-0386-DEU,2001,386,Natural,Meteorological,Storm,Convective storm,1,Regional,Germany,DEU,Western Europe,,,,,100,Kph,,,,,2001,7,6,6,,,,,,200000,300000
2001-0336-DEU,2001,336,Technological,Technological,Industrial accident,Explosion,1,Affect,Germany,DEU,Western Europe,,,,,,m3,,,,,2001,5,21,,130,,,130,,,
2001-0347-DNK,2001,347,Technological,Technological,Industrial accident,Other,1,SigDam,Denmark,DNK,Northern Europe,,,,,,m3,,,,,2001,3,29,,,,,,,,
2001-0329-ESP,2001,329,Natural,Biological,Epidemic,Bacterial disease,1,Affect,Spain,ESP,Southern Europe,,No,No,,,Vaccinated,,,,,2001,7,1,2,,751,,751,,,
2001-0625-ESP,2001,625,Technological,Technological,Transport accident,Road,1,Kill,Spain,ESP,Southern Europe,,,,,,,,,,,2001,11,14,20,23,,,23,,,
2001-0240-ESP,2001,240,Technological,Technological,Transport accident,Water,1,Kill,Spain,ESP,Southern Europe,,,,,,,,,,,2001,5,31,15,,,,,,,
2001-0781-ESP,2001,781,Technological,Technological,Transport accident,Water,1,Kill,Spain,ESP,Southern Europe,,,,,,,,,,,2001,2,5,37,,,,,,,
2001-0621-ESP,2001,621,Natural,Meteorological,Storm,,1,Waiting,Spain,ESP,Southern Europe,,,,,140,Kph,,,,,2001,11,10,10,,,,,,,72000
